order,date,author,title,published,pages,favorite,
550.,Apr 1991,Marcus Aurelius,The Meditations ,177a.d.,129 pp.,true,
551.,May 1991,Thomas Szasz,Ceremonial Chemistry,1974,170 pp.,,
552.,May 1991,Marcel Proust,The Captive ,1921,289 pp.,true,
553.,May 1991,Thomas Hardy,Under the Greenwood Tree,1872,241 pp.,,
554.,Jun 1991,Arthur Koestler,Darkness at Noon,1940,216 pp.,,
555.,Jun 1991,Herbert Marcuse,Eros and Civilization,1955,274 pp.,,
556.,Jul 1991,edited by F. Stephen Larrabee,The Two German States and European Security,1986-88,307 pp.,,
557.,Jul 1991,Marc Bloch,"Feudal Society, vol. 2",1961,170 pp.,,
558.,Aug 1991,Oscar Hijuelos,The Mambo Kings Play Songs of Love ,1989,407 pp.,true,
559.,Sep 1991,Jim Harrison,Dalva,1988,324 pp.,,
560.,Oct 1991,William Pfaff,Barbarian Sentiments,1989,189 pp.,,
561.,Oct 1991,Madame de Lafayette,The Princess of Cleves,1678,168 pp.,,
562.,Nov 1991,John Updike,"Rabbit, Run ",1960,249 pp.,true,
563.,Nov 1991,Paul Fussell,Bad,1991,201 pp.,,
564.,Nov 1991,William Styron,The Confessions of Nat Turner ,1966,429 pp.,true,
565.,Nov 1991,Sigmund Freud,The Future of an Illusion,1927,81 pp.,,
566.,Nov 1991,A.R. Myers,England in the Late Middle Ages,1952,262 pp.,,
567.,Nov 1991,"Paul Hohenberg, Lynn Hollen Lees",The Making of Urban Europe 1000--1950,1985,340 pp.,,
568.,Dec 1991,Leonardo Da Vinci,The Notebooks of Leonardo Da Vinci,"1480s, 1490s",392 pp.,,
569.,Dec 1991,"Joseph Morella, Patricia Barey",Simon and Garfunkel,1991,252 pp.,,
570.,Dec 1991,Sun Tzu,The Art of War,c.400bc,149 pp.,,
571.,De. 1991,Aleksandr Solzhenitsyn,Rebuilding Russia,1990,106 pp.,,
572.,Jan 1992,H.G. Wells,A Short History of the World ,1922,357 pp.,true,
573.,Jan 1992,Baroness Orczy,The Scarlet Pimpernel,1905,248 pp.,,
574.,Feb 1992,H.L. Mencken,The Vintage Mencken,1916-33,246 pp.,,
575.,Feb 1992,Robert Louis Stevenson,Dr. Jekyll and Mr. Hyde,1886,114 pp.,,
576.,Feb 1992,William Julius Wilson,The Truly Disadvantaged,1987,164 pp.,,
577.,Feb 1992,Swami Prabhavananda,The Sermon on the Mount according to Vendanta ,1963,126 pp.,true,
578.,Mar 1992,Sigmund Freud,An Outline of Psycho-Analysis,1938,64 pp.,,
579.,Mar 1992,Edgar Allan Poe,The Narrative of Arthur Gordon Pym,1938,220 pp.,,
580.,Mar 1992,Andreas Capellanus,The Art of Courtly Love,1180,59 pp.,,
581.,Mar 1992,William Faulkner,The Sound and the Fury,1931,284 pp.,,
582.,Apr 1992,Nathaniel Hawthorne,The House of the Seven Gables ,1851,245 pp.,true,
583.,Apr 1992,Edmund Burke,Reflections on the Revolution in France,1790,290 pp.,,
584.,Apr 1992,Nikolai Gogol,"Diary of a Madman, ""The Nose,"" ""The Overcoat""",1834 (36) (42),108 pp.,,
585.,Ap. 1992,William Shakespeare,The Trajedy of Julius Caesar,1599,102 pp.,,
586.,Apr 1992,"Donald L. Barlett, James B. Steele",America: What Went Wrong?,1992,219 pp.,,
587.,Jun 1992,Emil Ludwig,The Nile,1936,603 pp.,,
588.,Jun 1992,Patrick J. Geary,Before France & Germany,1988,231 pp.,,
589.,Jun 1992,Denis Diderot,The Nun,1760,188 pp.,,
590.,Jul 1992,Richard Selzer,Mortal Lessons - Notes on the Art of Surgery,1974,217 pp.,,
